date,ensemble_ret,cum_log_ret,cum_ret
1985-05-31,0.04005855703018938,1.4143486500351887,3.113806065692585
1985-06-30,0.023535460719595766,1.4376114220804483,3.210626386759727
1985-07-31,0.016511153312654896,1.4539877483767143,3.2801486845738275
1985-08-31,0.013449068866485466,1.467347181302151,3.3377126989914583
1985-09-30,0.02314484763020004,1.4902282492849395,3.4381083984732
1985-10-31,0.02407111840190735,1.51401422505497,3.5449386312133475
1985-11-30,0.03326560910183202,1.5467385061512766,3.6961287831111056
1985-12-31,0.021873411814030536,1.5683761270654453,3.7988491419158166
1986-01-31,0.019137299112711566,1.5873326112999142,3.8906861533414396
1986-02-28,0.04161037016965016,1.6281005597225695,4.09418941456556
1986-03-31,0.0346449993666079,1.6621589318223398,4.270677603606564
1986-04-30,0.02318349692301792,1.6850777740879557,4.392870341611997
1986-05-31,0.03094469625731628,1.7155533368085134,4.559751076288269
1986-06-30,0.03826582480011574,1.7531051820223034,4.772499536905771
1986-07-31,0.014035476054311484,1.767043072826146,4.853519315929536
1986-08-31,0.03827436718382482,1.8046031455558222,5.077559063545034
1986-09-30,-0.009511503986753517,1.7950461183220237,5.019752336282395
1986-10-31,0.029178057924766982,1.8238065999756783,5.1953970186431935
1986-11-30,0.02961168061381119,1.8529883220186152,5.378853136435014
1986-12-31,0.02795420937256976,1.880558944647604,5.557168932567792
1987-01-31,0.08128829750872721,1.9587121429455454,6.0901900315733455
1987-02-28,0.016084970122743753,1.9746691206154485,6.204235526395778
1987-03-31,0.03097480396056794,2.00517388690409,6.427385309511647
1987-04-30,0.030159944779096916,2.0348879632832793,6.651394840299594
1987-05-31,0.025100521939926002,2.059678641250378,6.843448844359571
1987-06-30,0.03227159354400237,2.0914404457248246,7.0965694374479185
1987-07-31,0.057830462163372655,2.1476605226186223,7.564797789953371
1987-08-31,0.04602136349631984,2.1926543120454443,7.958961462317291
1987-09-30,0.02099656998174929,2.2134334917529364,8.147068923624632
1987-10-31,-0.029063747329212613,2.1839390276925577,7.8812208236255135
1987-11-30,0.04857790049903495,2.2313738933826652,8.31265188510555
1987-12-31,0.05092979400861702,2.28104918381569,8.786943327287936
1988-01-31,-0.005893175122162677,2.2751385754116864,8.729267156349547
1988-02-29,0.04123071656721932,2.315541970235843,9.13041181287975
1988-03-31,0.016412069739686966,2.331820817619061,9.296672838044481
1988-04-30,0.03587210445117375,2.3670645025336574,9.666036161590377
1988-05-31,0.05126356594910248,2.417057339344335,10.212815209775577
1988-06-30,0.03212860594657258,2.448680616804791,10.573067331202193
1988-07-31,0.031171816548667075,2.479376458341661,10.933820862955798
1988-08-31,0.028704773882386046,2.5076769681801956,11.276378492379845
1988-09-30,0.054801335723422384,2.561029410005003,11.949140431608553
1988-10-31,0.025956905951053277,2.5866551538744478,12.285260051938799
1988-11-30,0.02041026424338824,2.606859920148368,12.556415720141
1988-12-31,0.039494620942644665,2.6455945737925597,13.09182122034888
1989-01-31,0.05992183979569627,2.7037897431561038,13.936229073944217
1989-02-28,0.01871045356005647,2.7223273093842226,14.215692694394615
1989-03-31,0.04470432649846043,2.7660612136157994,14.89589998850507
1989-04-30,0.0466784001512015,2.811682935140559,15.63789516893199
1989-05-31,0.03709212203841735,2.8481036955806425,16.25503000700041
1989-06-30,0.041952853374509304,2.8892003916065128,16.978927750856858
